,0,1,2,3,4,5,6,7,8,9
483,Fargo (1996),Raiders of the Lost Ark (1981),"Godfather, The (1972)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995)
484,Fargo (1996),"Godfather, The (1972)","English Patient, The (1996)",Scream (1996),"Shawshank Redemption, The (1994)","Full Monty, The (1997)",L.A. Confidential (1997),"Usual Suspects, The (1995)",Amadeus (1984),One Flew Over the Cuckoo's Nest (1975)
485,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997)
486,Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Titanic (1997),"Fugitive, The (1993)","Princess Bride, The (1987)",Back to the Future (1985),Schindler's List (1993),Indiana Jones and the Last Crusade (1989)
487,"Godfather, The (1972)",Twelve Monkeys (1995),Monty Python and the Holy Grail (1974),"Full Monty, The (1997)",L.A. Confidential (1997),Willy Wonka and the Chocolate Factory (1971),Dead Man Walking (1995),Blade Runner (1982),One Flew Over the Cuckoo's Nest (1975),Mr. Holland's Opus (1995)
488,Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)",Back to the Future (1985),L.A. Confidential (1997),Willy Wonka and the Chocolate Factory (1971),"Terminator, The (1984)","Usual Suspects, The (1995)"
489,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
490,Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997),Independence Day (ID4) (1996),"Fugitive, The (1993)"
491,Star Wars (1977),Return of the Jedi (1983),Raiders of the Lost Ark (1981),Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Titanic (1997)
492,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995)
493,"English Patient, The (1996)",Liar Liar (1997),Titanic (1997),Jerry Maguire (1996),"Shawshank Redemption, The (1994)","Full Monty, The (1997)",L.A. Confidential (1997),Dead Man Walking (1995),When Harry Met Sally... (1989),Mr. Holland's Opus (1995)
494,Contact (1997),Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997),"Rock, The (1996)","Fugitive, The (1993)","Princess Bride, The (1987)",Schindler's List (1993)
495,Fargo (1996),Contact (1997),"English Patient, The (1996)",Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Jerry Maguire (1996),"Rock, The (1996)",Schindler's List (1993)
496,Fargo (1996),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),Air Force One (1997),Liar Liar (1997),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996)
497,"English Patient, The (1996)",Titanic (1997),"Rock, The (1996)",Schindler's List (1993),"Shawshank Redemption, The (1994)",Forrest Gump (1994),"Full Monty, The (1997)",L.A. Confidential (1997),Dead Man Walking (1995),Amadeus (1984)
498,"English Patient, The (1996)",Toy Story (1995),Air Force One (1997),Liar Liar (1997),Titanic (1997),"Rock, The (1996)","Princess Bride, The (1987)",Schindler's List (1993),Forrest Gump (1994),Braveheart (1995)
499,"English Patient, The (1996)",Toy Story (1995),Scream (1996),"Empire Strikes Back, The (1980)",Liar Liar (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),"Fugitive, The (1993)",Back to the Future (1985),Star Trek: First Contact (1996)
500,"Godfather, The (1972)",Scream (1996),"Fugitive, The (1993)","Princess Bride, The (1987)",Star Trek: First Contact (1996),Schindler's List (1993),"Shawshank Redemption, The (1994)","Full Monty, The (1997)",L.A. Confidential (1997),Braveheart (1995)
501,Star Wars (1977),Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)","Fugitive, The (1993)"
502,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
503,Contact (1997),Scream (1996),Pulp Fiction (1994),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),"Rock, The (1996)",Star Trek: First Contact (1996),"Shawshank Redemption, The (1994)",L.A. Confidential (1997)
504,"English Patient, The (1996)",Toy Story (1995),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997),"Fugitive, The (1993)","Princess Bride, The (1987)",Star Trek: First Contact (1996),"Shawshank Redemption, The (1994)","Full Monty, The (1997)"
505,Fargo (1996),"English Patient, The (1996)",Scream (1996),Star Trek: First Contact (1996),Schindler's List (1993),Monty Python and the Holy Grail (1974),"Shawshank Redemption, The (1994)","Full Monty, The (1997)",L.A. Confidential (1997),"Usual Suspects, The (1995)"
506,Fargo (1996),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996)
507,Fargo (1996),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Jerry Maguire (1996)
508,Fargo (1996),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997)
509,Fargo (1996),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997)
510,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
511,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994)
512,Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","Silence of the Lambs, The (1991)",Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995)
513,Fargo (1996),Raiders of the Lost Ark (1981),"English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997)
514,"Godfather, The (1972)","English Patient, The (1996)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),Independence Day (ID4) (1996),"Rock, The (1996)",Willy Wonka and the Chocolate Factory (1971),Dead Man Walking (1995),Leaving Las Vegas (1995)
515,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
516,Fargo (1996),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
517,Fargo (1996),Raiders of the Lost Ark (1981),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996)
518,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Liar Liar (1997)
519,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994)
520,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
521,"English Patient, The (1996)","Silence of the Lambs, The (1991)",Liar Liar (1997),Titanic (1997),Jerry Maguire (1996),Schindler's List (1993),"Shawshank Redemption, The (1994)","Full Monty, The (1997)",L.A. Confidential (1997),Dead Man Walking (1995)
522,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994)
523,Fargo (1996),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995)
524,Contact (1997),Toy Story (1995),Scream (1996),Air Force One (1997),Liar Liar (1997),Titanic (1997),Independence Day (ID4) (1996),Alien (1979),Dead Man Walking (1995),Men in Black (1997)
525,Star Wars (1977),Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997),"Rock, The (1996)"
526,Raiders of the Lost Ark (1981),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Jerry Maguire (1996),"Rock, The (1996)","Fugitive, The (1993)","Princess Bride, The (1987)",Back to the Future (1985)
527,Contact (1997),Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Air Force One (1997),Liar Liar (1997),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)"
528,Fargo (1996),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997)
529,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
530,Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),Scream (1996),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996)
531,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
532,Star Wars (1977),Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Liar Liar (1997),Jerry Maguire (1996),"Princess Bride, The (1987)"
533,Twelve Monkeys (1995),"Fugitive, The (1993)","Princess Bride, The (1987)","Full Monty, The (1997)",L.A. Confidential (1997),Alien (1979),Blade Runner (1982),Raising Arizona (1987),Psycho (1960),Chasing Amy (1997)
534,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Titanic (1997)
535,"Godfather, The (1972)",Scream (1996),Liar Liar (1997),Titanic (1997),"Rock, The (1996)",Star Trek: First Contact (1996),Forrest Gump (1994),Terminator 2: Judgment Day (1991),Alien (1979),"Usual Suspects, The (1995)"
536,Fargo (1996),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Scream (1996),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Jerry Maguire (1996)
537,Dead Man Walking (1995),Men in Black (1997),"Saint, The (1997)",Ransom (1996),Twister (1996),Die Hard (1988),"Fish Called Wanda, A (1988)",Babe (1995),Phenomenon (1996),"Time to Kill, A (1996)"
538,"English Patient, The (1996)",Toy Story (1995),Scream (1996),Air Force One (1997),Twelve Monkeys (1995),Titanic (1997),Star Trek: First Contact (1996),"Shawshank Redemption, The (1994)","Full Monty, The (1997)",L.A. Confidential (1997)
539,Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995)
540,Raiders of the Lost Ark (1981),"Godfather, The (1972)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Titanic (1997),Jerry Maguire (1996),"Fugitive, The (1993)","Princess Bride, The (1987)"
541,Fargo (1996),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997)
542,Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),"Rock, The (1996)","Fugitive, The (1993)"
543,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)"
544,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
545,Fargo (1996),"Godfather, The (1972)","English Patient, The (1996)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Jerry Maguire (1996)
546,Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Empire Strikes Back, The (1980)",Jerry Maguire (1996),"Rock, The (1996)","Fugitive, The (1993)","Princess Bride, The (1987)",Back to the Future (1985),Schindler's List (1993)
547,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994)
548,Raiders of the Lost Ark (1981),"Empire Strikes Back, The (1980)","Princess Bride, The (1987)",Back to the Future (1985),Schindler's List (1993),Indiana Jones and the Last Crusade (1989),Monty Python and the Holy Grail (1974),"Shawshank Redemption, The (1994)",Forrest Gump (1994),"Full Monty, The (1997)"
549,Raiders of the Lost Ark (1981),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),"Rock, The (1996)"
550,Fargo (1996),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),"Rock, The (1996)","Fugitive, The (1993)"
551,Toy Story (1995),"Princess Bride, The (1987)","Full Monty, The (1997)",Willy Wonka and the Chocolate Factory (1971),Amadeus (1984),Men in Black (1997),Casablanca (1942),Sense and Sensibility (1995),"Graduate, The (1967)","Sting, The (1973)"
552,Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Titanic (1997),"Fugitive, The (1993)","Princess Bride, The (1987)",Back to the Future (1985),Schindler's List (1993),Indiana Jones and the Last Crusade (1989)
553,Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996)
554,Contact (1997),"Godfather, The (1972)",Air Force One (1997),Titanic (1997),Indiana Jones and the Last Crusade (1989),Monty Python and the Holy Grail (1974),"Shawshank Redemption, The (1994)","Full Monty, The (1997)",L.A. Confidential (1997),"Terminator, The (1984)"
555,Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997)
556,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),Twelve Monkeys (1995)
557,Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
558,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997)
559,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),"English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
560,Raiders of the Lost Ark (1981),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997),Jerry Maguire (1996),"Rock, The (1996)"
561,"Godfather, The (1972)",Scream (1996),Air Force One (1997),Liar Liar (1997),Titanic (1997),Jerry Maguire (1996),"Full Monty, The (1997)",Men in Black (1997),Sense and Sensibility (1995),Conspiracy Theory (1997)
562,Fargo (1996),Contact (1997),Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996)
563,Fargo (1996),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997)
564,Fargo (1996),Raiders of the Lost Ark (1981),"English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995)
565,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996)
566,Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)",Toy Story (1995),Air Force One (1997),Liar Liar (1997),Titanic (1997),Jerry Maguire (1996),"Fugitive, The (1993)",Star Trek: First Contact (1996)
567,Contact (1997),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996)
568,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997)
569,Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Titanic (1997),"Fugitive, The (1993)","Princess Bride, The (1987)",Back to the Future (1985)
570,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
571,Star Wars (1977),Fargo (1996),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997)
572,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
573,Fargo (1996),Return of the Jedi (1983),Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995)
574,Star Wars (1977),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995)
575,Fargo (1996),Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)",Toy Story (1995),Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
576,Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)",Titanic (1997),Independence Day (ID4) (1996)
577,Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Scream (1996),Air Force One (1997),Star Trek: First Contact (1996),"Full Monty, The (1997)",L.A. Confidential (1997),"Terminator, The (1984)",Dead Man Walking (1995)
578,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
579,Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Air Force One (1997),"Empire Strikes Back, The (1980)",Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)","Fugitive, The (1993)"
580,Raiders of the Lost Ark (1981),"Godfather, The (1972)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Titanic (1997),Jerry Maguire (1996),"Rock, The (1996)","Fugitive, The (1993)","Princess Bride, The (1987)"
581,Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997)
582,Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)","Fugitive, The (1993)","Princess Bride, The (1987)",Back to the Future (1985),Schindler's List (1993)
583,Star Wars (1977),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
584,Fargo (1996),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),Liar Liar (1997)
585,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994)
586,Fargo (1996),Contact (1997),"English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Monty Python and the Holy Grail (1974)
587,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
588,"Godfather, The (1972)",Air Force One (1997),"Shawshank Redemption, The (1994)","Full Monty, The (1997)",L.A. Confidential (1997),"Terminator, The (1984)",Terminator 2: Judgment Day (1991),Alien (1979),Dead Man Walking (1995),Amadeus (1984)
589,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
590,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
591,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997)
592,Air Force One (1997),Indiana Jones and the Last Crusade (1989),Sense and Sensibility (1995),"Birdcage, The (1996)",Jurassic Park (1993),"Blues Brothers, The (1980)",It's a Wonderful Life (1946),"Truth About Cats & Dogs, The (1996)","Fish Called Wanda, A (1988)",Star Trek: The Wrath of Khan (1982)
593,Contact (1997),"Godfather, The (1972)",Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Star Trek: First Contact (1996),Monty Python and the Holy Grail (1974),"Shawshank Redemption, The (1994)","Full Monty, The (1997)",L.A. Confidential (1997)
594,Contact (1997),Raiders of the Lost Ark (1981),Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995)
595,Raiders of the Lost Ark (1981),"English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997),"Rock, The (1996)"
596,Fargo (1996),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Independence Day (ID4) (1996),Jerry Maguire (1996)
597,Fargo (1996),Contact (1997),Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996)
598,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
